Vehicle ID,Vehicle Class,Fuel Type,Route Type,Vehicle Age (Years),Cumulative Mileage (km)
MUN_001,Transit Bus,CNG,Mixed Suburban,10,266300
MUN_002,Waste Truck,Diesel,Urban Stop-and-Go,5,180700
MUN_003,Waste Truck,CNG,Urban Stop-and-Go,8,312100
MUN_004,Transit Bus,Diesel,Mixed Suburban,11,423700
MUN_005,Transit Bus,CNG,Urban Stop-and-Go,12,461000
MUN_006,Service Van,Petrol,Mixed Suburban,5,123900
MUN_007,Service Van,Petrol,Mixed Suburban,7,262500
MUN_008,Transit Bus,CNG,Urban Stop-and-Go,8,207300
MUN_009,Waste Truck,Hybrid,Highway Transit,6,226300
MUN_010,Transit Bus,CNG,Urban Stop-and-Go,5,176200
MUN_011,Service Van,Diesel,Urban Stop-and-Go,14,261500
MUN_012,Service Van,Petrol,Urban Stop-and-Go,4,72800
MUN_013,Waste Truck,CNG,Mixed Suburban,7,218500
MUN_014,Service Van,Diesel,Mixed Suburban,3,63400
MUN_015,Waste Truck,CNG,Urban Stop-and-Go,12,402300
MUN_016,Service Van,Petrol,Mixed Suburban,13,448800
MUN_017,Waste Truck,Diesel,Mixed Suburban,8,225800
MUN_018,Transit Bus,Diesel,Mixed Suburban,1,34500
MUN_019,Transit Bus,Diesel,Urban Stop-and-Go,2,56500
MUN_020,Transit Bus,Diesel,Urban Stop-and-Go,4,117000
MUN_021,Waste Truck,Diesel,Highway Transit,2,40100
MUN_022,Waste Truck,Diesel,Highway Transit,4,118600
MUN_023,Waste Truck,Diesel,Urban Stop-and-Go,8,152200
MUN_024,Transit Bus,CNG,Mixed Suburban,9,274600
MUN_025,Waste Truck,Hybrid,Urban Stop-and-Go,11,380400
MUN_026,Transit Bus,Diesel,Urban Stop-and-Go,14,478600
MUN_027,Transit Bus,Diesel,Urban Stop-and-Go,12,224900
MUN_028,Waste Truck,Diesel,Urban Stop-and-Go,8,277800
MUN_029,Waste Truck,Diesel,Urban Stop-and-Go,6,199200
MUN_030,Transit Bus,CNG,Highway Transit,14,262100
MUN_031,Transit Bus,CNG,Mixed Suburban,1,16900
MUN_032,Service Van,Petrol,Urban Stop-and-Go,11,344000
MUN_033,Service Van,Petrol,Urban Stop-and-Go,9,227800
MUN_034,Waste Truck,Diesel,Urban Stop-and-Go,8,219600
MUN_035,Transit Bus,Hybrid,Mixed Suburban,3,46800
MUN_036,Service Van,Diesel,Mixed Suburban,5,104800
MUN_037,Waste Truck,CNG,Urban Stop-and-Go,5,157500
MUN_038,Waste Truck,Hybrid,Urban Stop-and-Go,1,30800
MUN_039,Service Van,Diesel,Mixed Suburban,9,200900
MUN_040,Transit Bus,Diesel,Highway Transit,9,212000
MUN_041,Waste Truck,CNG,Mixed Suburban,6,160200
MUN_042,Transit Bus,CNG,Highway Transit,14,329100
MUN_043,Transit Bus,CNG,Urban Stop-and-Go,7,155100
MUN_044,Service Van,Diesel,Urban Stop-and-Go,2,45700
MUN_045,Transit Bus,CNG,Highway Transit,1,27900
MUN_046,Waste Truck,CNG,Mixed Suburban,6,173200
MUN_047,Waste Truck,Diesel,Urban Stop-and-Go,3,94300
MUN_048,Transit Bus,Diesel,Urban Stop-and-Go,13,276000
MUN_049,Service Van,Petrol,Urban Stop-and-Go,13,249200
MUN_050,Waste Truck,Diesel,Mixed Suburban,15,342600
MUN_051,Waste Truck,Hybrid,Urban Stop-and-Go,8,275400
MUN_052,Transit Bus,Diesel,Urban Stop-and-Go,8,287200
MUN_053,Waste Truck,Diesel,Mixed Suburban,14,483900
MUN_054,Waste Truck,Diesel,Highway Transit,10,248000
MUN_055,Waste Truck,Diesel,Highway Transit,13,501200
MUN_056,Waste Truck,Diesel,Urban Stop-and-Go,3,87800
MUN_057,Waste Truck,Hybrid,Urban Stop-and-Go,3,73600
MUN_058,Waste Truck,Diesel,Urban Stop-and-Go,1,29600
MUN_059,Transit Bus,Diesel,Urban Stop-and-Go,6,221000
MUN_060,Service Van,Petrol,Urban Stop-and-Go,12,310300
MUN_061,Waste Truck,CNG,Urban Stop-and-Go,8,138700
MUN_062,Transit Bus,Diesel,Urban Stop-and-Go,9,204000
MUN_063,Waste Truck,CNG,Highway Transit,2,79700
MUN_064,Transit Bus,Diesel,Urban Stop-and-Go,2,53200
